Meses,Linha,Passageiros
2021-07-01,11_coral,9461724
2021-06-01,11_coral,9057192
2021-05-01,11_coral,8752477
2021-04-01,11_coral,6904776
2021-03-01,11_coral,7210292
2021-02-01,11_coral,8342569
2021-01-01,11_coral,8118857
2020-12-01,11_coral,9500459
2020-11-01,11_coral,9154504
2020-10-01,11_coral,9181806
2020-09-01,11_coral,8526080
2020-08-01,11_coral,8023121
2020-07-01,11_coral,7881095
2020-06-01,11_coral,6158000
2020-05-01,11_coral,4441957
2020-04-01,11_coral,3916020
2020-03-01,11_coral,9725435
2020-02-01,11_coral,12126179
2020-01-01,11_coral,12381065
2019-12-01,11_coral,13367072
2019-11-01,11_coral,13431855
2019-10-01,11_coral,14373159
2019-09-01,11_coral,13186911
2019-08-01,11_coral,13821636
2019-07-01,11_coral,12887398
2019-06-01,11_coral,12532888
2019-05-01,11_coral,13753642
2019-04-01,11_coral,13197269
2019-03-01,11_coral,12752958
2019-02-01,11_coral,11995607
2019-01-01,11_coral,11876265
2024-12-01,12_safira,5822605
2024-11-01,12_safira,5865645
2024-10-01,12_safira,6223760
2024-09-01,12_safira,5782234
2024-08-01,12_safira,6029302
2024-07-01,12_safira,5734262
2024-06-01,12_safira,5613621
2024-05-01,12_safira,5726026
2024-04-01,12_safira,5707774
2024-03-01,12_safira,5448256
2024-02-01,12_safira,5049372
2024-01-01,12_safira,4940378
2023-12-01,12_safira,5912207
2023-11-01,12_safira,5509664
2023-10-01,12_safira,5438007
2023-09-01,12_safira,5551831
2023-08-01,12_safira,5945461
2023-07-01,12_safira,5561116
2023-06-01,12_safira,5615087
2023-05-01,12_safira,5869875
2023-04-01,12_safira,5141720
2023-03-01,12_safira,5768105
2023-02-01,12_safira,4682065
2023-01-01,12_safira,4648400
2022-12-01,12_safira,5439334
2022-11-01,12_safira,5381761
2022-10-01,12_safira,5427715
2022-09-01,12_safira,5258576
2022-08-01,12_safira,5556619
2022-07-01,12_safira,5270920
2022-06-01,12_safira,5362051
2022-05-01,12_safira,5630409
2022-04-01,12_safira,5054453
2022-03-01,12_safira,5321915
2022-02-01,12_safira,4532717
2022-01-01,12_safira,4287564
2021-12-01,12_safira,5386315
2021-11-01,12_safira,5034846
2021-10-01,12_safira,4833711
2021-09-01,12_safira,4696919
2021-08-01,12_safira,4609631
2021-07-01,12_safira,4561887
2021-06-01,12_safira,4371047
2021-05-01,12_safira,4235918
2021-04-01,12_safira,3400625
2021-03-01,12_safira,3530923
2021-02-01,12_safira,4030131
2021-01-01,12_safira,3879775
2020-12-01,12_safira,4798145
2020-11-01,12_safira,4511190
2020-10-01,12_safira,4473953
2020-09-01,12_safira,4139075
2020-08-01,12_safira,3915304
2020-07-01,12_safira,3684914
2020-06-01,12_safira,2899231
2020-05-01,12_safira,2133884
2020-04-01,12_safira,1884672
2020-03-01,12_safira,4382672
2020-02-01,12_safira,5286947
2020-01-01,12_safira,5455622
2019-12-01,12_safira,7538612
2019-11-01,12_safira,7954004
2019-10-01,12_safira,8525074
2019-09-01,12_safira,7778655
2019-08-01,12_safira,8163635
2019-07-01,12_safira,7689849
2019-06-01,12_safira,7279791
2019-05-01,12_safira,8040675
2019-04-01,12_safira,7842666
2019-03-01,12_safira,7551714
2019-02-01,12_safira,7151780
2019-01-01,12_safira,6993421
2024-12-01,13_jade,515158
2024-11-01,13_jade,522029
2024-10-01,13_jade,545149
2024-09-01,13_jade,510951
2024-08-01,13_jade,514272
2024-07-01,13_jade,494794
2024-06-01,13_jade,477212
2024-05-01,13_jade,481635
2024-04-01,13_jade,477434
2024-03-01,13_jade,455340
2024-02-01,13_jade,422977
2024-01-01,13_jade,426893
2023-12-01,13_jade,465593
2023-11-01,13_jade,439950
2023-10-01,13_jade,431242
2023-09-01,13_jade,444752
2023-08-01,13_jade,449889
2023-07-01,13_jade,422492
2023-06-01,13_jade,417584
2023-05-01,13_jade,435994
2023-04-01,13_jade,388648
2023-03-01,13_jade,428001
2023-02-01,13_jade,352512
2023-01-01,13_jade,364478
2022-12-01,13_jade,387247
2022-11-01,13_jade,392365
2022-10-01,13_jade,390035
2022-09-01,13_jade,372228
2022-08-01,13_jade,388503
2022-07-01,13_jade,372083
2022-06-01,13_jade,355699
2022-05-01,13_jade,375094
2022-04-01,13_jade,344359
2022-03-01,13_jade,362858
2022-02-01,13_jade,305562
2022-01-01,13_jade,290353
2021-12-01,13_jade,338754
2021-11-01,13_jade,323744
2021-10-01,13_jade,301558
2021-09-01,13_jade,284466
2021-08-01,13_jade,266268
2021-07-01,13_jade,253948
2021-06-01,13_jade,244943
2021-05-01,13_jade,236311
2021-04-01,13_jade,193289
2021-03-01,13_jade,201808
2021-02-01,13_jade,217795
2021-01-01,13_jade,218478
2020-12-01,13_jade,241047
2020-11-01,13_jade,219548
2020-10-01,13_jade,213823
2020-09-01,13_jade,195068
2020-08-01,13_jade,181379
2020-07-01,13_jade,167720
2020-06-01,13_jade,129332
2020-05-01,13_jade,102525
2020-04-01,13_jade,91995
2020-03-01,13_jade,239586
2020-02-01,13_jade,308508
2020-01-01,13_jade,308023
2019-12-01,13_jade,325947
2019-11-01,13_jade,308151
2019-10-01,13_jade,321265
2019-09-01,13_jade,293014
2019-08-01,13_jade,298851
2019-07-01,13_jade,291722
2019-06-01,13_jade,269357
2019-05-01,13_jade,287905
2019-04-01,13_jade,270390
2019-03-01,13_jade,261897
2019-02-01,13_jade,230769
2019-01-01,13_jade,233280
2024-12-01,demanda_total,100671970
2024-11-01,demanda_total,108212151
2024-10-01,demanda_total,117235696
2024-09-01,demanda_total,109717576
2024-08-01,demanda_total,112931313
2024-07-01,demanda_total,104967236
2024-06-01,demanda_total,105743318
2024-05-01,demanda_total,108301620
2024-04-01,demanda_total,111029879
2024-03-01,demanda_total,106589350
2024-02-01,demanda_total,98439596
2024-01-01,demanda_total,93880661
2023-12-01,demanda_total,102208839
2023-11-01,demanda_total,101793993
2023-10-01,demanda_total,103628370
2023-09-01,demanda_total,105859623
2023-08-01,demanda_total,112775467
2023-07-01,demanda_total,101145333
2023-06-01,demanda_total,103206242
2023-05-01,demanda_total,109475451
2023-04-01,demanda_total,96988006
2023-03-01,demanda_total,108400505
2023-02-01,demanda_total,89398819
2023-01-01,demanda_total,88526555
2022-12-01,demanda_total,97392524
2022-11-01,demanda_total,99890033
2022-10-01,demanda_total,103528955
2022-09-01,demanda_total,101304505
2022-08-01,demanda_total,106487577
2022-07-01,demanda_total,96892288
2022-06-01,demanda_total,97316195
2022-05-01,demanda_total,101984896
2022-04-01,demanda_total,93239380
2022-03-01,demanda_total,97868518
2022-02-01,demanda_total,80575119
2022-01-01,demanda_total,72548765
2021-12-01,demanda_total,86323632
2021-11-01,demanda_total,85391553
2021-10-01,demanda_total,81201127
2021-09-01,demanda_total,77947884
2021-08-01,demanda_total,75829096
2021-07-01,demanda_total,70516127
2021-06-01,demanda_total,67642271
2021-05-01,demanda_total,64023189
2021-04-01,demanda_total,51777859
2021-03-01,demanda_total,55065224
2021-02-01,demanda_total,64061396
2021-01-01,demanda_total,62226265
2020-12-01,demanda_total,70309911
2020-11-01,demanda_total,69408115
2020-10-01,demanda_total,69130563
2020-09-01,demanda_total,62975276
2020-08-01,demanda_total,58340873
2020-07-01,demanda_total,54159047
2020-06-01,demanda_total,42546575
2020-05-01,demanda_total,32334719
2020-04-01,demanda_total,29155204
2020-03-01,demanda_total,69664138
2020-02-01,demanda_total,115490314
2020-01-01,demanda_total,114658276
2019-12-01,demanda_total,139086378
2019-11-01,demanda_total,147850805
2019-10-01,demanda_total,163284577
2019-09-01,demanda_total,149746302
2019-08-01,demanda_total,155297605
2019-07-01,demanda_total,140975976
2019-06-01,demanda_total,136122033
2019-05-01,demanda_total,157198864
2019-04-01,demanda_total,151869759
2019-03-01,demanda_total,147200119
2019-02-01,demanda_total,139165475
2019-01-01,demanda_total,129696806
